127.0.0.1 - - [08/Jan/2022:23:17:26 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Jan/2022:23:17:28 +0700] "GET /LearnCode/ HTTP/1.1" 200 6831
0:0:0:0:0:0:0:1 - - [08/Jan/2022:23:17:28 +0700] "GET /LearnCode/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Jan/2022:23:17:28 +0700] "GET /LearnCode/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [08/Jan/2022:23:17:28 +0700] "GET /LearnCode/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [08/Jan/2022:23:17:28 +0700] "GET /LearnCode/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Jan/2022:23:17:31 +0700] "GET /LearnCode/login.jsp HTTP/1.1" 200 4571
0:0:0:0:0:0:0:1 - - [08/Jan/2022:23:17:31 +0700] "GET /LearnCode/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Jan/2022:23:17:31 +0700] "GET /LearnCode/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [08/Jan/2022:23:17:31 +0700] "GET /LearnCode/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Jan/2022:23:17:37 +0700] "POST /LearnCode/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jan/2022:23:17:38 +0700] "GET /LearnCode/profile.jsp HTTP/1.1" 200 8707
0:0:0:0:0:0:0:1 - - [08/Jan/2022:23:17:38 +0700] "GET /LearnCode/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [08/Jan/2022:23:17:38 +0700] "GET /LearnCode/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Jan/2022:23:17:46 +0700] "GET /LearnCode/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Jan/2022:23:18:02 +0700] "POST /LearnCode/AddPostServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2022:23:20:47 +0700] "GET /LearnCode/profile.jsp HTTP/1.1" 500 2286
0:0:0:0:0:0:0:1 - - [08/Jan/2022:23:20:51 +0700] "GET /LearnCode/index.jsp HTTP/1.1" 200 6831
0:0:0:0:0:0:0:1 - - [08/Jan/2022:23:20:51 +0700] "GET /LearnCode/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Jan/2022:23:20:51 +0700] "GET /LearnCode/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [08/Jan/2022:23:20:51 +0700] "GET /LearnCode/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [08/Jan/2022:23:20:51 +0700] "GET /LearnCode/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Jan/2022:23:20:52 +0700] "GET /LearnCode/index.jsp HTTP/1.1" 200 6831
0:0:0:0:0:0:0:1 - - [08/Jan/2022:23:20:52 +0700] "GET /LearnCode/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [08/Jan/2022:23:20:52 +0700] "GET /LearnCode/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Jan/2022:23:20:54 +0700] "GET /LearnCode/login.jsp HTTP/1.1" 200 4571
0:0:0:0:0:0:0:1 - - [08/Jan/2022:23:20:54 +0700] "GET /LearnCode/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [08/Jan/2022:23:20:54 +0700] "GET /LearnCode/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Jan/2022:23:20:58 +0700] "POST /LearnCode/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jan/2022:23:20:58 +0700] "GET /LearnCode/profile.jsp HTTP/1.1" 200 8707
0:0:0:0:0:0:0:1 - - [08/Jan/2022:23:20:58 +0700] "GET /LearnCode/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [08/Jan/2022:23:20:58 +0700] "GET /LearnCode/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Jan/2022:23:21:19 +0700] "POST /LearnCode/AddPostServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2022:23:21:22 +0700] "POST /LearnCode/AddPostServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2022:23:21:22 +0700] "POST /LearnCode/AddPostServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2022:23:22:45 +0700] "GET /LearnCode/profile.jsp HTTP/1.1" 500 2286
0:0:0:0:0:0:0:1 - - [08/Jan/2022:23:22:47 +0700] "GET /LearnCode/index.jsp HTTP/1.1" 200 6831
0:0:0:0:0:0:0:1 - - [08/Jan/2022:23:22:47 +0700] "GET /LearnCode/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [08/Jan/2022:23:22:47 +0700] "GET /LearnCode/sweetalert2.min.css HTTP/1.1" 404 784
