127.0.0.1 - - [13/Jan/2022:23:31:34 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Jan/2022:23:31:36 +0700] "GET /LearnCode/ HTTP/1.1" 200 6934
0:0:0:0:0:0:0:1 - - [13/Jan/2022:23:31:36 +0700] "GET /LearnCode/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [13/Jan/2022:23:31:36 +0700] "GET /LearnCode/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Jan/2022:23:31:36 +0700] "GET /LearnCode/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [13/Jan/2022:23:31:36 +0700] "GET /LearnCode/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Jan/2022:23:31:37 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Jan/2022:23:31:39 +0700] "GET /LearnCode/login.jsp HTTP/1.1" 200 4674
0:0:0:0:0:0:0:1 - - [13/Jan/2022:23:31:39 +0700] "GET /LearnCode/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Jan/2022:23:31:39 +0700] "GET /LearnCode/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [13/Jan/2022:23:31:39 +0700] "GET /LearnCode/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Jan/2022:23:31:45 +0700] "POST /LearnCode/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:23:31:45 +0700] "GET /LearnCode/profile.jsp HTTP/1.1" 200 9008
0:0:0:0:0:0:0:1 - - [13/Jan/2022:23:31:45 +0700] "GET /LearnCode/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [13/Jan/2022:23:31:45 +0700] "GET /LearnCode/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Jan/2022:23:31:45 +0700] "GET /LearnCode/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Jan/2022:23:32:18 +0700] "POST /LearnCode/AddPostServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:23:35:04 +0700] "GET /LearnCode/index.jsp HTTP/1.1" 200 6934
0:0:0:0:0:0:0:1 - - [13/Jan/2022:23:35:04 +0700] "GET /LearnCode/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [13/Jan/2022:23:35:04 +0700] "GET /LearnCode/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Jan/2022:23:35:04 +0700] "GET /LearnCode/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [13/Jan/2022:23:35:04 +0700] "GET /LearnCode/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Jan/2022:23:35:05 +0700] "GET /LearnCode/login.jsp HTTP/1.1" 200 4674
0:0:0:0:0:0:0:1 - - [13/Jan/2022:23:35:05 +0700] "GET /LearnCode/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [13/Jan/2022:23:35:05 +0700] "GET /LearnCode/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Jan/2022:23:35:05 +0700] "GET /LearnCode/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Jan/2022:23:35:09 +0700] "POST /LearnCode/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:23:35:09 +0700] "GET /LearnCode/profile.jsp HTTP/1.1" 200 9022
0:0:0:0:0:0:0:1 - - [13/Jan/2022:23:35:09 +0700] "GET /LearnCode/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [13/Jan/2022:23:35:09 +0700] "GET /LearnCode/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Jan/2022:23:35:09 +0700] "GET /LearnCode/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Jan/2022:23:35:58 +0700] "POST /LearnCode/AddPostServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:23:36:34 +0700] "GET /LearnCode/sweetalert2.min.css HTTP/1.1" 404 784
